,price (CLP),rooms,size (m2),address
1289,550000,2.0,50.0,"Vicuña Mackenna 881, Barrio Diez De Julio, Santiago"
1290,380000,1.0,32.0,"Santa Victoria / Carmen, Santa Isabel, Santiago"
1291,450000,2.0,40.0,"Calle Condor, San Diego, Santiago"
1292,280000,1.0,30.0,"Metro Santa Ana / Huerfanos 1400, Centro Histórico De Santiago, Santiago"
1293,295000,1.0,33.0,"Vergara/sazie, Ejército - Toesca, Santiago"
1294,300000,1.0,30.0,"Arrienda...!!! En Un Lugar Seguro Y Tranquilo En El Centro De Santiago, Bulnes, Santiago"
1295,420000,2.0,54.0,"Avenida Manuel Rodríguez 83, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1296,550000,3.0,65.0,"Avenida Viel 1616, Santiago, Región Metropolitana, Chile, Parque O'higgins, Santiago"
1297,280000,1.0,28.0,"Av. Vicuña Mackenna 1207, 8360071 Santiago, Región Metropolitana, Chile, Bogotá - Sierra Bella, Santiago"
1298,420000,2.0,41.0,"Departamento Stgo Centro 2d 2b Est Bodega, Parque Almagro, Santiago"
1299,300000,1.0,30.0,"Agustina 1612 Santiago Centro, Centro Histórico De Santiago, Santiago"
1300,290000,1.0,30.0,"Martinez De Rozas &amp; Barrio Yungay, Parque Los Reyes, Santiago"
1301,300000,1.0,31.0,"Beauchef, Parque O'higgins, Santiago"
1302,405000,3.0,58.0,"Rosas / Maipu, Barrio Yungay, Santiago"
1303,290000,1.0,33.0,"Santa Elvira 97, Bogotá - Sierra Bella, Santiago"
1304,750000,2.0,79.0,"Santa Elena, Bogotá - Sierra Bella, Santiago"
1305,270000,1.0,55.0,"Catedral Con Teatinos, Centro Histórico De Santiago, Santiago"
1306,290000,1.0,53.0,"Conde Del Maule  Sn, Parque O'higgins, Santiago"
1307,330000,1.0,33.0,"Sazie/metro Union Latinoamericana, Barrio República, Santiago"
1308,500000,2.0,60.0,"Metrro Irarrázaval /portugal 810 Santiago/ 2d, 2b, Estacionamiento, Barrio Diez De Julio, Santiago"
1310,380000,2.0,37.0,"San Pablo Con San Martín, Centro Histórico De Santiago, Santiago"
